Module,TXT,RO,DATA,BSS,TOTAL,FatalCount,F3Count
apps_proc/core/services/utils/src/crc.c,660,3148,0,0,3816,0,7
apps_proc/core/services/utils/src/amssheap_debug.c,788,117,4,360464,361379,0,10
apps_proc/core/services/utils/src/memheap.c,7596,930,202,16080,24816,0,97
apps_proc/core/services/utils/src/md5c.c,2572,0,64,0,2636,0,0
apps_proc/core/services/utils/src/qw.c,950,225,0,0,1181,0,22
apps_proc/core/services/utils/src/misc.c,284,0,0,0,284,0,0
apps_proc/core/services/utils/src/bit.c,4210,166,0,0,4386,0,16
apps_proc/core/services/utils/src/cmd.c,38,0,0,0,42,0,0
apps_proc/core/services/utils/src/intconv.c,2758,1518,0,0,4280,0,114
apps_proc/core/services/utils/src/list.c,2864,0,0,0,2864,0,0
apps_proc/core/services/utils/src/queue.c,1424,240,0,0,1664,0,24
apps_proc/core/services/utils/src/amssheap.c,568,21,8,1284,1883,0,3
apps_proc/core/services/utils/src/miscasm.s,244,0,0,0,244,0,0
apps_proc/core/services/utils/src/memutils.cpp,502,33,1148,64,1773,0,11
apps_proc/core/services/time/src/qapi_timer_txm.c,1554,0,16,4096,5674,0,0
apps_proc/core/services/time/src/timer_slaves.c,952,65,48,11984,13051,0,8
apps_proc/core/services/time/src/timer_fn_map.c,82,0,0,0,82,0,0
apps_proc/core/services/time/src/qapi_timer.c,356,0,4,0,360,0,0
apps_proc/core/services/time/src/time_genoff.c,2720,24,24,3849,6627,0,19
apps_proc/core/services/time/src/time.c,870,0,12,176,1058,0,4
apps_proc/core/services/time/src/time_jul.c,328,70,0,0,398,0,0
apps_proc/core/services/time/src/time_efs.c,452,0,12,816,1280,0,2
apps_proc/core/services/time/src/time_ipc.c,508,21,16,64,623,0,9
apps_proc/core/services/time/src/time_conv.c,376,22,0,0,398,0,1
apps_proc/core/services/time/src/timetick_sclk64.c,156,28,16,64,268,0,1
apps_proc/core/services/time/src/ats_bases.c,148,0,0,0,148,0,0
apps_proc/core/services/time/src/ats_rtc.c,146,0,20,0,174,0,0
apps_proc/core/services/time/src/time_dal.c,812,12,0,0,824,0,0
apps_proc/core/services/time/src/time_fn_map.c,76,0,0,20,96,0,0
apps_proc/core/services/time/src/time_rex.c,10,0,0,0,14,0,0
apps_proc/core/services/time/src/timer.c,11338,1133,208,24256,36941,0,81
apps_proc/core/services/diag/f3_trace/src/diag_f3_trace.c,834,0,28,65592,66454,0,0
apps_proc/core/services/diag/f3_trace/src/diag_f3_trace_cmd.c,136,32,0,0,168,0,0
apps_proc/core/services/diag/f3_trace/src/diag_f3_trace_devcfg.c,100,0,0,0,100,0,2
apps_proc/core/services/diag/f3_trace/src/diag_f3_trace_nvcfg.c,98,0,0,0,98,0,0
apps_proc/core/services/diag/f3_trace/src/f3_trace_nv_efs.c,568,282,12,16,882,0,8
apps_proc/core/services/diag/LSM/qapi/src/qapi_diag_pkt.c,648,0,12,512,1172,0,0
apps_proc/core/services/diag/LSM/qapi/src/qapi_diag.c,1766,0,0,512,2286,0,0
apps_proc/core/services/diag/DCM/common/src/msg.c,9072,116,65604,272,75068,0,17
apps_proc/core/services/diag/DCM/common/src/diagdiag_common.c,5394,1352,56,296,7102,0,46
apps_proc/core/services/diag/DCM/common/src/feature.c,48,0,77,0,139,0,0
apps_proc/core/services/diag/DCM/common/src/toolsdiag.c,788,48,48,0,884,0,0
apps_proc/core/services/diag/DCM/common/src/diagdsm.c,304,0,0,327124,327428,0,0
apps_proc/core/services/diag/DCM/common/src/diagmm.c,202,39,8,0,259,0,5
apps_proc/core/services/diag/DCM/common/src/diagcomm_cmd.c,1196,147,8,16784,18137,0,15
apps_proc/core/services/diag/DCM/common/src/diaglog.c,7972,779,20,10144,18921,0,23
apps_proc/core/services/diag/DCM/common/src/diag_compress.c,312,46,20,64,442,0,3
apps_proc/core/services/diag/DCM/common/src/event.c,6054,150,84,1448,7736,0,24
apps_proc/core/services/diag/DCM/common/src/diagcomm_sio.c,5084,495,92,16812,22493,0,54
apps_proc/core/services/diag/DCM/common/src/diagcomm_io_sio.c,248,58,0,0,310,0,5
apps_proc/core/services/diag/DCM/common/src/diagcomm_smd.c,3468,157,41,448,4130,0,14
apps_proc/core/services/diag/DCM/common/src/diag_fwd.c,1348,151,48,392,1941,0,14
apps_proc/core/services/diag/DCM/common/src/diagcomm_ctrl.c,1862,204,12,33584,35662,0,18
apps_proc/core/services/diag/DCM/common/src/diagcomm_io.c,1686,94,1,0,1795,0,10
apps_proc/core/services/diag/DCM/common/src/diagcompressed_buffer.c,1986,154,88,152,4612,0,13
apps_proc/core/services/diag/DCM/common/src/diagcomm_io_socket.c,334,199,8,0,555,0,0
apps_proc/core/services/diag/DCM/common/src/diagcomm_io_udp.c,1318,78,8,160,1568,0,22
apps_proc/core/services/diag/DCM/common/src/diag.c,9996,1199,192,72192,83589,0,67
apps_proc/core/services/diag/DCM/common/src/diagbuf.c,6502,410,188,65680,72784,0,43
apps_proc/core/services/diag/DCM/rtos/src/paramsdiag.c,124,48,24,0,196,0,0
apps_proc/core/services/diag/DCM/rtos/src/log_api.c,1104,0,0,0,1104,0,7
apps_proc/core/services/diag/DCM/rtos/src/event_api.c,292,0,0,0,292,0,0
apps_proc/core/services/diag/DCM/rtos/src/diagpkt.c,6104,290,68,1344,7818,0,34
apps_proc/core/services/diag/DCM/rtos/src/msg_api.c,6478,0,8,0,6486,0,0
apps_proc/core/services/diag/platform/bmp/src/diagcomm_cfg.c,490,45,2,42544,43091,0,3
apps_proc/core/services/diag/diagbuffer/src/ULogParsers.c,3168,34,4,0,3210,0,2
apps_proc/core/services/diag/diagbuffer/src/ULogDiag.c,1314,12,28,0,1354,0,0
apps_proc/core/services/diag/diagbuffer/src/ULogRead.c,852,0,0,0,852,0,0
apps_proc/core/services/diag/diagbuffer/src/ULogCore.c,5212,101,64,16,5395,0,9
apps_proc/core/services/diag/diagbuffer/src/ULogFront.c,2658,42,4,0,2708,0,3
apps_proc/core/services/diag/diag_mask_tbl/src/msg_arrays_i.c,0,2456,416,2436,5308,0,0
apps_proc/core/services/diag/diag_mask_tbl/src/log_arrays_i.c,0,32,0,0,32,0,0
apps_proc/core/services/time_qmi_clnt/src/qmi_time_client.c,492,0,16,160,668,0,12
apps_proc/core/services/compression/lz4/src/lz4.c,2174,128,0,0,2306,0,0
apps_proc/core/services/osal/qurt/src/osal_qurt.c,1628,69,8,392,2103,0,1
apps_proc/core/products/pad_seg/build/apps_proc/cortex-a7/ACENAAKZ/src/boot_pad_seg.o.i,0,8192,0,8192,16384,0,0
